result;epochs;subset;metric;model;dataset;augmentation
1.9116136006121145;1;train;loss;VGGNet;Ramas224Descrete;true
1.7873104348175346;2;train;loss;VGGNet;Ramas224Descrete;true
1.7394168471019125;3;train;loss;VGGNet;Ramas224Descrete;true
1.7186290155246526;4;train;loss;VGGNet;Ramas224Descrete;true
1.7092596942617122;5;train;loss;VGGNet;Ramas224Descrete;true
1.6698433101513275;6;train;loss;VGGNet;Ramas224Descrete;true
1.6653465675366712;7;train;loss;VGGNet;Ramas224Descrete;true
1.642613663788272;8;train;loss;VGGNet;Ramas224Descrete;true
1.6185710339714845;9;train;loss;VGGNet;Ramas224Descrete;true
1.5941631953451096;10;train;loss;VGGNet;Ramas224Descrete;true
1.5757055318642739;11;train;loss;VGGNet;Ramas224Descrete;true
1.547838930959032;12;train;loss;VGGNet;Ramas224Descrete;true
1.513193451093442;13;train;loss;VGGNet;Ramas224Descrete;true
1.4994955642720726;14;train;loss;VGGNet;Ramas224Descrete;true
1.4857326348826312;15;train;loss;VGGNet;Ramas224Descrete;true
1.4407932946524333;16;train;loss;VGGNet;Ramas224Descrete;true
1.4421986358584897;17;train;loss;VGGNet;Ramas224Descrete;true
1.3826680782817682;18;train;loss;VGGNet;Ramas224Descrete;true
1.3317448566779915;19;train;loss;VGGNet;Ramas224Descrete;true
1.3209732674379218;20;train;loss;VGGNet;Ramas224Descrete;true
1.3074941513539582;21;train;loss;VGGNet;Ramas224Descrete;true
1.2673121661421338;22;train;loss;VGGNet;Ramas224Descrete;true
1.2107372557059854;23;train;loss;VGGNet;Ramas224Descrete;true
1.1740856567203908;24;train;loss;VGGNet;Ramas224Descrete;true
1.1503637975940089;25;train;loss;VGGNet;Ramas224Descrete;true
3.145566322764412;1;valid;loss;VGGNet;Ramas224Descrete;true
1.7154376272295342;2;valid;loss;VGGNet;Ramas224Descrete;true
1.6974148496252592;3;valid;loss;VGGNet;Ramas224Descrete;true
2.3580384918900785;4;valid;loss;VGGNet;Ramas224Descrete;true
1.6944121024647698;5;valid;loss;VGGNet;Ramas224Descrete;true
2.441764667385914;6;valid;loss;VGGNet;Ramas224Descrete;true
1.641300326488057;7;valid;loss;VGGNet;Ramas224Descrete;true
1.6631637401268131;8;valid;loss;VGGNet;Ramas224Descrete;true
1.6149034206984474;9;valid;loss;VGGNet;Ramas224Descrete;true
1.9065463269343141;10;valid;loss;VGGNet;Ramas224Descrete;true
1.7000946353693478;11;valid;loss;VGGNet;Ramas224Descrete;true
1.916611608911733;12;valid;loss;VGGNet;Ramas224Descrete;true
1.556662817470363;13;valid;loss;VGGNet;Ramas224Descrete;true
1.5591895052644074;14;valid;loss;VGGNet;Ramas224Descrete;true
1.7411401193650042;15;valid;loss;VGGNet;Ramas224Descrete;true
1.5382183379814274;16;valid;loss;VGGNet;Ramas224Descrete;true
1.6182637566425762;17;valid;loss;VGGNet;Ramas224Descrete;true
1.4661228852193864;18;valid;loss;VGGNet;Ramas224Descrete;true
1.4887724509004687;19;valid;loss;VGGNet;Ramas224Descrete;true
1.5114032987688408;20;valid;loss;VGGNet;Ramas224Descrete;true
1.4886831006065744;21;valid;loss;VGGNet;Ramas224Descrete;true
1.4882328490741918;22;valid;loss;VGGNet;Ramas224Descrete;true
1.5589088729170502;23;valid;loss;VGGNet;Ramas224Descrete;true
1.5036057526948021;24;valid;loss;VGGNet;Ramas224Descrete;true
1.4514197384724852;25;valid;loss;VGGNet;Ramas224Descrete;true
0.20732957457713994;1;train;acc;AlexNet;Ramas224Descrete;true
0.22245002562788313;2;train;acc;AlexNet;Ramas224Descrete;true
0.2647360328036904;3;train;acc;AlexNet;Ramas224Descrete;true
0.2672988211173757;4;train;acc;AlexNet;Ramas224Descrete;true
0.28549461814454125;5;train;acc;AlexNet;Ramas224Descrete;true
0.29241414659149156;6;train;acc;AlexNet;Ramas224Descrete;true
0.291645310097386;7;train;acc;AlexNet;Ramas224Descrete;true
0.30061506919528447;8;train;acc;AlexNet;Ramas224Descrete;true
0.30574064582265503;9;train;acc;AlexNet;Ramas224Descrete;true
0.30958482829318296;10;train;acc;AlexNet;Ramas224Descrete;true
0.3054843669912865;11;train;acc;AlexNet;Ramas224Descrete;true
0.31266017426960535;12;train;acc;AlexNet;Ramas224Descrete;true
0.3147104049205536;13;train;acc;AlexNet;Ramas224Descrete;true
0.3264992311635059;14;train;acc;AlexNet;Ramas224Descrete;true
0.32009226037929267;15;train;acc;AlexNet;Ramas224Descrete;true
0.33649410558687853;16;train;acc;AlexNet;Ramas224Descrete;true
0.3444387493593029;17;train;acc;AlexNet;Ramas224Descrete;true
0.35084572014351617;18;train;acc;AlexNet;Ramas224Descrete;true
0.35058944131214764;19;train;acc;AlexNet;Ramas224Descrete;true
0.35776524859046643;20;train;acc;AlexNet;Ramas224Descrete;true
0.36263454638646847;21;train;acc;AlexNet;Ramas224Descrete;true
