result;subset;metric;epoch;task
0.4008958566629339;train;accuracy;1;emotion
0.4209126539753639;train;accuracy;2;emotion
0.431224337439343;train;accuracy;3;emotion
0.4512178051511758;train;accuracy;4;emotion
0.4673572228443449;train;accuracy;5;emotion
0.4777435610302352;train;accuracy;6;emotion
0.48724204127339626;train;accuracy;7;emotion
0.49597564389697646;train;accuracy;8;emotion
0.5036083115590394;train;accuracy;9;emotion
0.5106662933930571;train;accuracy;10;emotion
0.5160846991754047;train;accuracy;11;emotion
0.5201101157148189;train;accuracy;12;emotion
0.52491601343785;train;accuracy;13;emotion
0.5290753479443289;train;accuracy;14;emotion
0.5326241134751774;train;accuracy;15;emotion
0.5366041433370661;train;accuracy;16;emotion
0.54003359462486;train;accuracy;17;emotion
0.5426931690929452;train;accuracy;18;emotion
0.545691636706548;train;accuracy;19;emotion
0.5482362821948489;train;accuracy;20;emotion
0.5514717645176772;train;accuracy;21;emotion
0.5544767382673318;train;accuracy;22;emotion
0.5574760212279078;train;accuracy;23;emotion
0.5602603583426652;train;accuracy;24;emotion
0.5626091825307951;train;accuracy;25;emotion
0.5648311654750624;train;accuracy;26;emotion
0.5669818754925138;train;accuracy;27;emotion
0.5692889137737962;train;accuracy;28;emotion
0.571485114105881;train;accuracy;29;emotion
0.5734695782008212;train;accuracy;30;emotion
0.5755969367481848;train;accuracy;31;emotion
0.5772238941769317;train;accuracy;32;emotion
0.5789643354033052;train;accuracy;33;emotion
0.5806435676174165;train;accuracy;34;emotion
0.5825307950727884;train;accuracy;35;emotion
0.5841032101530422;train;accuracy;36;emotion
0.5860446112405799;train;accuracy;37;emotion
0.5876996522661637;train;accuracy;38;emotion
0.589255462715709;train;accuracy;39;emotion
0.5907124860022397;train;accuracy;40;emotion
0.5925354382323218;train;accuracy;41;emotion
0.5938649816029435;train;accuracy;42;emotion
0.5953996197817651;train;accuracy;43;emotion
0.5968835895347654;train;accuracy;44;emotion
0.5984322508398656;train;accuracy;45;emotion
0.5998709771653926;train;accuracy;46;emotion
0.6013497414881704;train;accuracy;47;emotion
